Sun. Jun. 23, 2013             LANDSAT 5                 Time: 22:34
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L7637067            Path/Row: 123 / 039

L0R Reference Image: L51BJC1087253020100_HDF.131750324
Acquisition Date: Sep 10, 1987

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
123   039   2002-07-09


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1230390178   29.854213  112.857926    10.289       7.210    -1.362     7.341    -0.326
1230390179   30.323876  114.039252     9.067      -0.534     0.813    -0.645     0.730
1230390181   30.446676  114.452993    36.018       1.919    -3.701     2.417    -3.397
1230390182   29.861927  114.346382    47.967      -0.646    -4.929     0.051    -4.976
1230390183   30.559981  113.995636    33.849      -0.661     3.350    -1.127     3.225
1230390184   30.382148  113.469959    17.224      -4.285     1.875    -4.503     1.254
1230390185   30.403346  114.298247    25.781      -1.968     3.596    -2.462     3.285
1230390188   30.196582  114.237140     7.232      -0.122     5.629    -0.921     5.559
1230390191   29.920225  113.943978    21.924      -1.335    -4.937    -0.625    -5.079
1230390192   30.287337  113.170409     8.096       1.747     2.276     1.417     2.501
1230390195   30.588747  114.049993    12.497       4.645    -6.298     5.487    -5.585
1230390196   30.032298  113.880123    11.537      -5.476     0.385    -5.480    -0.394
1230390197   30.500788  114.503007    42.072       4.886    -1.957     5.111    -1.251
1230390198   30.542036  114.225738     8.000       1.309    -0.710     1.394    -0.520
1230390202   30.858658  114.410310    10.156      -3.067     5.483    -3.815     5.002
1230390207   30.483388  114.394016    10.382       4.993    -3.593     5.448    -2.856
1230390208   30.551451  113.122171     9.449      -4.327     0.398    -4.330    -0.213
1230390210   31.052702  113.884970    15.729       1.310    -4.423     1.920    -4.198
1230390213   29.682181  113.405544     9.943      -4.827    -3.143    -4.329    -3.796
1230390216   30.672678  114.823640     9.192       0.912    -4.060     1.464    -3.898
1230390220   30.788004  113.938137    13.229       0.724    -4.060     1.289    -3.920
1230390222   30.043341  114.275050     7.872       0.085    -2.951     0.496    -2.913
1230390225   30.430197  114.085316    43.032      -5.952     0.747    -6.004    -0.100
1230390226   30.861449  114.437686    25.255       1.459     3.666     0.926     3.838
1230390227   30.933632  113.958276    19.000       0.662     1.553     0.439     1.632
1230390229   30.733262  114.625674    10.395      -1.586     0.779    -1.689     0.548
1230390230   30.473692  114.443955    23.449       2.451    -4.866     3.108    -4.477
1230390231   30.453289  114.723574     9.168      -0.244     4.769    -0.924     4.691
1230390233   30.873378  114.710581    26.681       0.771     2.978     0.337     3.059
1230390234   30.778657  114.636775    13.755       4.663    -0.585     4.696     0.075
1230390238   30.381676  114.089406    16.883       2.568     2.242     2.225     2.584
1230390241   30.437259  114.129559    21.299      -2.596     0.218    -2.605    -0.150
1230390244   30.964531  114.747371    31.497      -1.756     5.624    -2.538     5.327
1230390245   30.005096  113.587724     7.938      -1.212     4.140    -1.784     3.929
1230390246   30.844133  113.991581     8.144       1.449    -1.039     1.582    -0.826
1230390249   30.199365  114.288305    29.940       0.484     6.914    -0.503     6.918
1230390250   30.434493  114.473789    12.260       0.458    -0.226     0.479    -0.160
1230390252   30.616043  114.153128    12.128      -5.733    -2.848    -5.282    -3.630
1230390256   30.922942  114.534316    44.347      -0.052     1.550    -0.275     1.527
1230390257   30.762283  114.593566    28.247      -2.030     0.497    -2.089     0.206
